META,DeadlineMisses,140
META,CPUUtil,100
Tick,CPU_Task,CPU_Util%,TaskID,Name,State
72,IDLE,100,6,T6,finished
72,IDLE,100,7,T7,finished
72,IDLE,100,8,T8,finished
72,IDLE,100,9,T9,finished
72,IDLE,100,10,T10,finished
73,IDLE,100,1,T1,missed
73,IDLE,100,2,T2,missed
73,IDLE,100,3,T3,ready
73,IDLE,100,4,T4,missed
73,IDLE,100,5,T5,finished
73,IDLE,100,6,T6,finished
73,IDLE,100,7,T7,finished
73,IDLE,100,8,T8,finished
73,IDLE,100,9,T9,finished
73,IDLE,100,10,T10,finished
74,IDLE,100,1,T1,missed
74,IDLE,100,2,T2,missed
74,IDLE,100,3,T3,ready
74,IDLE,100,4,T4,finished
74,IDLE,100,5,T5,finished
74,IDLE,100,6,T6,finished
74,IDLE,100,7,T7,finished
74,IDLE,100,8,T8,finished
74,IDLE,100,9,T9,finished
74,IDLE,100,10,T10,finished
75,IDLE,100,1,T1,missed
75,IDLE,100,2,T2,missed
75,IDLE,100,3,T3,ready
75,IDLE,100,4,T4,ready
75,IDLE,100,5,T5,finished
75,IDLE,100,6,T6,finished
75,IDLE,100,7,T7,finished
75,IDLE,100,8,T8,ready
75,IDLE,100,9,T9,finished
75,IDLE,100,10,T10,finished
76,IDLE,100,1,T1,missed
76,IDLE,100,2,T2,missed
76,IDLE,100,3,T3,missed
76,IDLE,100,4,T4,ready
76,IDLE,100,5,T5,finished
76,IDLE,100,6,T6,finished
76,IDLE,100,7,T7,finished
76,IDLE,100,8,T8,finished
76,IDLE,100,9,T9,finished
76,IDLE,100,10,T10,finished
77,IDLE,100,1,T1,missed
77,IDLE,100,2,T2,missed
77,IDLE,100,3,T3,missed
77,IDLE,100,4,T4,finished
77,IDLE,100,5,T5,finished
77,IDLE,100,6,T6,finished
77,IDLE,100,7,T7,finished
77,IDLE,100,8,T8,finished
77,IDLE,100,9,T9,finished
77,IDLE,100,10,T10,finished
78,T4,100,1,T1,missed
78,T4,100,2,T2,missed
78,T4,100,3,T3,missed
78,T4,100,4,T4,running
78,T4,100,5,T5,finished
78,T4,100,6,T6,finished
78,T4,100,7,T7,finished
78,T4,100,8,T8,finished
78,T4,100,9,T9,finished
78,T4,100,10,T10,finished
80,IDLE,100,1,T1,ready
80,IDLE,100,2,T2,missed
80,IDLE,100,3,T3,missed
80,IDLE,100,4,T4,ready
80,IDLE,100,5,T5,ready
80,IDLE,100,6,T6,ready
80,IDLE,100,7,T7,finished
80,IDLE,100,8,T8,finished
80,IDLE,100,9,T9,finished
80,IDLE,100,10,T10,finished
81,T6,100,1,T1,ready
81,T6,100,2,T2,missed
81,T6,100,3,T3,missed
81,T6,100,4,T4,missed
81,T6,100,5,T5,ready
81,T6,100,6,T6,running
81,T6,100,7,T7,finished
81,T6,100,8,T8,finished
81,T6,100,9,T9,finished
81,T6,100,10,T10,finished
82,IDLE,100,1,T1,ready
82,IDLE,100,2,T2,missed
82,IDLE,100,3,T3,missed
82,IDLE,100,4,T4,ready
82,IDLE,100,5,T5,ready
82,IDLE,100,6,T6,finished
82,IDLE,100,7,T7,finished
82,IDLE,100,8,T8,finished
82,IDLE,100,9,T9,finished
82,IDLE,100,10,T10,finished
83,IDLE,100,1,T1,ready
83,IDLE,100,2,T2,missed
83,IDLE,100,3,T3,missed
83,IDLE,100,4,T4,ready
83,IDLE,100,5,T5,finished
83,IDLE,100,6,T6,finished
83,IDLE,100,7,T7,finished
83,IDLE,100,8,T8,finished
83,IDLE,100,9,T9,finished
83,IDLE,100,10,T10,finished
84,IDLE,100,1,T1,ready
84,IDLE,100,2,T2,missed
84,IDLE,100,3,T3,missed
84,IDLE,100,4,T4,ready
84,IDLE,100,5,T5,finished
84,IDLE,100,6,T6,finished
84,IDLE,100,7,T7,finished
84,IDLE,100,8,T8,finished
84,IDLE,100,9,T9,finished
84,IDLE,100,10,T10,finished
85,IDLE,100,1,T1,missed
85,IDLE,100,2,T2,missed
85,IDLE,100,3,T3,missed
85,IDLE,100,4,T4,finished
85,IDLE,100,5,T5,finished
85,IDLE,100,6,T6,finished
85,IDLE,100,7,T7,finished
85,IDLE,100,8,T8,finished
85,IDLE,100,9,T9,finished
85,IDLE,100,10,T10,finished
86,IDLE,100,1,T1,missed
